Date,Open*,High,Low,Close**,Volume,Market Cap
2015-07-26,288.64,293.05,287.71,292.69,16032300,4222888242
2015-07-25,288.16,290.73,286.00,288.70,20662200,4164295442
2015-07-24,276.01,289.25,275.25,288.28,37199400,4157148934
2015-07-23,277.34,278.11,275.72,276.05,18531300,3979625902
2015-07-22,275.66,277.67,274.38,277.22,19389800,3995572964
2015-07-21,278.88,280.55,275.42,275.83,22930700,3974491489
2015-07-20,273.50,278.98,272.96,278.98,22711400,4018965413
2015-07-19,274.77,275.67,272.51,273.61,15332500,3940581988
2015-07-18,279.33,282.53,274.08,274.90,25187100,3958065833
2015-07-17,278.09,280.28,272.04,279.47,27591400,4022845730
2015-07-16,286.04,291.18,275.24,278.09,49482600,4001916229
2015-07-15,288.05,293.25,285.37,285.83,27486600,4112343300
2015-07-14,292.03,296.15,286.64,287.46,28727200,4134767190
2015-07-13,310.83,310.95,281.01,292.05,62053900,4199736520
2015-07-12,293.14,314.39,292.51,310.87,56405000,4469117252
2015-07-11,284.88,298.51,283.53,293.11,41109900,4212919911
2015-07-10,269.16,294.59,268.80,284.89,100390000,4093705987
2015-07-09,270.83,272.33,267.09,269.23,40301200,3867547719
2015-07-08,265.98,272.97,264.39,270.79,36980200,3889020940
2015-07-07,269.96,271.34,264.83,266.21,28857600,3822200106
2015-07-06,271.11,277.42,267.60,269.03,49154800,3861831490
2015-07-05,260.80,274.51,258.70,271.91,44156100,3901985539
2015-07-04,256.49,261.46,254.20,260.89,15620400,3742827088
2015-07-03,255.46,257.08,253.51,256.34,19033800,3676575981
2015-07-02,258.55,261.63,254.12,255.41,21551900,3662295200
2015-07-01,263.35,265.17,255.77,258.62,27029800,3707306173
2015-06-30,257.04,267.87,255.95,263.07,44533800,3770229522
2015-06-29,248.72,257.17,248.58,257.06,34742900,3683193712
2015-06-28,250.96,251.17,247.43,249.01,15137600,3566939394
2015-06-27,243.55,251.34,243.12,250.99,20488600,3594402691
2015-06-26,242.60,243.75,241.55,243.59,13983500,3487699724
2015-06-25,240.37,243.33,240.37,242.80,16133100,3475370256
2015-06-24,244.28,244.34,240.51,240.51,17344900,3441763637
2015-06-23,246.93,247.30,243.13,244.30,15108700,3494929113
2015-06-22,243.97,247.92,243.78,246.99,17692500,3532599174
2015-06-21,245.10,245.22,241.88,243.94,10600900,3488106467
2015-06-20,244.53,245.83,240.63,245.21,20608100,3505477188
2015-06-19,249.04,250.98,243.79,244.61,23965300,3495994564
2015-06-18,249.43,252.11,244.13,249.01,30980200,3557986321
2015-06-17,250.82,256.85,246.48,249.28,43858400,3560953387
2015-06-16,236.76,251.74,236.12,250.90,41612000,3582987588
2015-06-15,233.42,237.84,233.42,236.82,19912100,3381329191
2015-06-14,232.44,234.86,232.00,233.54,12165900,3333657006
2015-06-13,229.92,232.65,229.21,232.40,13305300,3316504361
2015-06-12,229.71,231.06,229.31,229.98,14017700,3281061201
2015-06-11,228.85,230.29,228.77,229.71,14416000,3276293900
2015-06-10,228.99,229.78,228.01,228.80,15904800,3262644979
2015-06-09,228.54,230.95,227.93,229.05,28353100,3265176585
2015-06-08,222.88,229.46,222.84,228.49,23378400,3256350969
2015-06-07,225.60,226.19,222.65,222.88,13318400,3175547196
2015-06-06,225.01,225.72,224.38,225.62,11131500,3213722676
2015-06-05,224.15,225.97,223.18,224.95,18056500,3203220875
2015-06-04,225.77,226.58,224.05,224.32,14728100,3193504505
2015-06-03,225.74,227.40,223.93,225.87,17752400,3214774292
2015-06-02,222.89,226.42,222.42,225.80,20459000,3212962177
2015-06-01,230.23,231.71,221.30,222.93,26090500,3171172508
2015-05-31,233.13,233.25,229.54,230.19,14730800,3273756425
2015-05-30,237.09,237.09,232.05,233.35,14098600,3317769214
2015-05-29,237.38,237.52,235.73,237.10,14805000,3370295930
2015-05-28,237.26,237.82,236.65,237.41,13829600,3373816958
2015-05-27,237.07,238.64,236.70,237.28,18837000,3371257543
2015-05-26,237.10,238.24,235.69,237.12,16425000,3368066799
2015-05-25,240.93,241.02,236.64,237.11,14423900,3367127977
2015-05-24,238.98,241.98,238.81,240.95,11508000,3420845884
2015-05-23,240.29,241.02,238.69,238.87,14605000,3390435704
2015-05-22,235.32,240.97,235.06,240.35,27003000,3410712372
2015-05-21,234.02,236.24,233.84,235.34,15108900,3338890048
2015-05-20,231.89,234.68,231.84,234.02,15499400,3319170901
2015-05-19,233.04,234.15,231.82,231.95,14241900,3288950473
2015-05-18,236.89,237.21,232.46,233.13,16780300,3304944920
2015-05-17,236.01,238.02,236.01,236.80,11134300,3356176986
2015-05-16,237.64,237.70,235.29,236.15,11089700,3345969203
2015-05-15,236.96,238.75,236.79,237.60,16329400,3365752047
2015-05-14,236.21,237.80,234.06,236.93,24413700,3355311496
2015-05-13,241.40,243.70,235.04,236.38,27180100,3346584200
2015-05-12,242.15,242.88,240.10,241.11,19282600,3412644998
2015-05-11,240.30,244.27,239.38,242.16,20892300,3426529646
2015-05-10,241.73,244.07,238.85,240.30,15019100,3399245238
2015-05-09,243.77,247.80,239.64,241.83,19790500,3420193701
2015-05-08,237.20,246.27,236.27,243.86,27445500,3448119178
2015-05-07,229.66,239.10,228.57,237.33,29064400,3354923757
2015-05-06,236.25,236.45,229.23,229.78,29587200,3247353903
2015-05-05,238.85,239.20,232.05,236.12,23929100,3335976518
2015-05-04,240.36,242.64,237.81,239.02,21223400,3375997790
2015-05-03,234.88,243.24,234.08,240.36,18494100,3394161416
2015-05-02,232.34,235.73,232.34,234.93,12535500,3316683008
2015-05-01,235.94,238.97,232.08,232.08,18815300,3275574610
2015-04-30,225.69,239.56,224.99,236.15,33818600,3332094504
2015-04-29,225.59,227.04,223.43,225.81,18936500,3185479101
2015-04-28,228.97,229.49,223.07,225.85,21469200,3185425042
2015-04-27,219.43,233.30,218.02,229.29,38574000,3232938332
2015-04-26,226.41,226.94,214.87,219.43,28943700,3093216938
2015-04-25,231.24,232.56,226.34,226.39,13957200,3190508610
2015-04-24,235.97,236.30,229.93,231.27,21448700,3258311725
2015-04-23,234.05,236.48,233.20,236.46,17036000,3330762351
2015-04-22,235.60,237.91,233.48,234.18,23847900,3297795229
2015-04-21,224.62,235.27,224.30,235.27,24978000,3312299315
2015-04-20,222.61,226.35,221.98,224.63,18364700,3161599719
2015-04-19,223.46,226.35,222.37,222.60,15021500,3132226860
2015-04-18,222.85,224.32,220.88,223.36,12939000,3142049362
2015-04-17,228.57,228.91,221.94,222.88,20429800,3134573444
2015-04-16,223.92,229.67,223.92,228.57,24805400,3213884952
2015-04-15,219.07,223.83,218.65,223.83,22562000,3146465248
2015-04-14,224.76,224.98,216.32,219.16,31719000,3080098939
2015-04-13,235.95,236.93,222.00,224.59,31181800,3155548414
2015-04-12,236.54,237.73,233.49,236.15,12387900,3317129018
2015-04-11,236.02,239.54,234.18,236.55,16365200,3321976615
2015-04-10,243.69,243.69,232.77,236.07,28882000,3314409567
2015-04-09,244.75,246.12,239.40,243.68,21643500,3420248520
2015-04-08,253.06,253.85,244.21,245.02,30086400,3438326345
2015-04-07,255.27,255.80,252.21,253.18,18467400,3552014128
2015-04-06,260.72,261.80,254.57,255.49,20034200,3583466919
2015-04-05,253.76,260.67,251.94,260.60,19649200,3654268030
2015-04-04,254.29,255.26,251.10,253.70,12493500,3556559216
2015-04-03,253.07,256.04,251.88,254.32,23146600,3564354620
2015-04-02,247.09,254.46,245.42,253.01,26272600,3544973232
2015-04-01,244.22,247.54,241.16,247.27,22877200,3463619267
2015-03-31,247.45,248.73,242.74,244.22,22672000,3420112896
2015-03-30,242.88,249.24,239.21,247.53,23009600,3465419693
2015-03-29,252.74,253.14,240.85,242.71,21699400,3397187115
2015-03-28,246.98,254.21,246.98,252.80,16040900,3537377134
2015-03-27,248.57,256.81,245.21,247.03,17274900,3455731911
2015-03-26,246.28,254.35,244.90,248.53,25730000,3475701380
2015-03-25,247.47,249.19,236.51,246.20,35866900,3442129496
2015-03-24,266.58,267.00,244.15,245.60,40073700,3432718154
2015-03-23,267.89,277.30,261.74,266.74,22811900,3727111341
2015-03-22,259.92,269.75,259.59,267.96,18438100,3743193531
2015-03-21,261.64,262.20,255.65,260.02,17130100,3631424642
2015-03-20,260.96,264.85,259.16,261.75,18456700,3654506819
2015-03-19,255.88,264.24,248.64,260.93,52732000,3642156965
2015-03-18,285.07,285.34,249.87,256.30,57008000,3576671767
2015-03-17,290.60,292.36,284.37,285.51,21497200,3983144494
2015-03-16,285.68,294.11,285.68,290.59,21516100,4053198429
2015-03-15,281.42,286.53,281.00,286.39,11970100,3993628668
2015-03-14,284.44,286.34,280.98,281.89,22612300,3929758785
2015-03-13,294.12,294.50,285.34,285.34,31421500,3976948638
2015-03-12,296.13,297.09,292.41,294.35,32585200,4101535995
2015-03-11,291.52,297.39,290.51,296.38,33963900,4128796573
2015-03-10,289.86,300.04,289.74,291.76,67770800,4063305050
2015-03-09,274.81,292.70,273.89,289.61,59178200,4032241702
2015-03-08,276.43,277.86,272.57,274.35,22067900,3818877362
2015-03-07,272.29,277.85,270.13,276.26,17825900,3844351385
2015-03-06,275.60,277.61,270.02,272.72,28918900,3794156466
2015-03-05,272.74,281.67,264.77,276.18,41302400,3841201000
