Date,Open*,High,Low,Close**,Volume,Market Cap
2019-03-30,0.307655,0.326784,0.306873,0.310632,929122633,12955391175
2019-03-29,0.309269,0.311644,0.306235,0.307929,854583316,12842645325
2019-03-28,0.312383,0.312452,0.307085,0.309246,677929379,12897607540
2019-03-27,0.305421,0.312615,0.304067,0.312465,781951318,13031827698
2019-03-26,0.303808,0.305060,0.298987,0.305060,761000017,12722986423
2019-03-25,0.309446,0.309736,0.301453,0.304055,750245385,12681109120
2019-03-24,0.312396,0.312453,0.308168,0.308992,649754894,12874448652
2019-03-23,0.311343,0.313666,0.310130,0.312359,611853725,13014768156
2019-03-22,0.311342,0.315092,0.310141,0.311541,687711343,12980675768
2019-03-21,0.319960,0.320850,0.309338,0.312718,824129023,13029696678
2019-03-20,0.319346,0.320777,0.314781,0.319610,794566633,13316885397
2019-03-19,0.316756,0.320595,0.315351,0.319281,672954616,13228510122
2019-03-18,0.317716,0.320667,0.314653,0.317440,692176696,13152224850
2019-03-17,0.320387,0.320739,0.316497,0.317612,530234054,13159356178
2019-03-16,0.315066,0.322413,0.314838,0.320468,759396360,13277693053
2019-03-15,0.312733,0.316065,0.311575,0.315052,636037517,13053269086
2019-03-14,0.313870,0.316362,0.311307,0.312955,706966032,12966405951
2019-03-13,0.310611,0.320114,0.308660,0.314098,827163024,13013743791
2019-03-12,0.311138,0.311773,0.307536,0.310201,581106367,12852289140
2019-03-11,0.313175,0.314576,0.309417,0.311065,671951311,12888076063
2019-03-10,0.314266,0.315795,0.311095,0.313107,620043949,12972692491
2019-03-09,0.309751,0.317748,0.309367,0.313826,763946051,13002493406
2019-03-08,0.315044,0.316385,0.308828,0.310087,680461375,12847588532
2019-03-07,0.317192,0.319898,0.314548,0.314766,716447226,13041438381
2019-03-06,0.316674,0.320833,0.311987,0.317031,750399371,13135275499
2019-03-05,0.305095,0.317879,0.304082,0.316507,786832982,13113543971
2019-03-04,0.312021,0.313120,0.302677,0.305133,647905632,12642316836
2019-03-03,0.314857,0.316500,0.310925,0.312554,548503372,12949767221
2019-03-02,0.316911,0.319301,0.312747,0.315126,604560086,13056329959
2019-03-01,0.315066,0.323946,0.313620,0.317312,752723591,13146898194
2019-02-28,0.313115,0.317004,0.311435,0.315078,734041245,13033383006
2019-02-27,0.319677,0.322419,0.308662,0.313106,716326029,12951843120
2019-02-26,0.327779,0.334310,0.316865,0.319477,881257178,13215356893
2019-02-25,0.300708,0.337855,0.300708,0.328510,1060838440,13589015145
2019-02-24,0.332942,0.341581,0.299331,0.301443,1117884486,12469397085
2019-02-23,0.321314,0.333893,0.318241,0.332620,638747256,13759017838
2019-02-22,0.321449,0.323440,0.318165,0.321904,570898964,13315770282
2019-02-21,0.332869,0.332869,0.319201,0.321291,634536385,13272215549
2019-02-20,0.323572,0.333607,0.320995,0.332880,777173685,13750925866
2019-02-19,0.321427,0.343676,0.320942,0.323768,1135384190,13374527524
2019-02-18,0.303084,0.327739,0.302557,0.321568,887187377,13251207947
2019-02-17,0.301571,0.304934,0.299235,0.303370,427237164,12501307769
2019-02-16,0.301602,0.303516,0.300731,0.301703,379011431,12432602528
2019-02-15,0.302129,0.304614,0.299583,0.301759,426310729,12434893660
2019-02-14,0.304017,0.306100,0.301514,0.301909,418928960,12441105391
2019-02-13,0.305429,0.311322,0.302188,0.304284,494653115,12538960413
2019-02-12,0.302569,0.307477,0.299579,0.305190,472806810,12576315747
2019-02-11,0.310034,0.310034,0.302741,0.302741,474495062,12475397374
2019-02-10,0.311253,0.311340,0.302092,0.309909,495640831,12758715490
2019-02-09,0.311578,0.313414,0.307560,0.311284,461638795,12815309888
